,$,Identifier,Semi,LeftParen,Comma,Const,Static,Char,Int,Bool,Assign,LeftBrace,Constant,RightBrace,RightParen,Return,For,Question,Colon,OrOr,AndAnd,Or,Caret,And,Equal,NotEqual,Less,Greater,LessEqual,GreaterEqual,LeftShift,RightShift,Plus,Minus,Star,Div,Mod,DigitSequence,True,False,StringLiteral,PlusPlus,MinusMinus,If,Else
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,S ::= compilationUnitA $,,,,,S ::= compilationUnitA $,S ::= compilationUnitA $,S ::= compilationUnitA $,S ::= compilationUnitA $,S ::= compilationUnitA $,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compilationUnitA,compilationUnitA ::= ε,,,,,compilationUnitA ::= externalDeclaration compilationUnitA,compilationUnitA ::= externalDeclaration compilationUnitA,compilationUnitA ::= externalDeclaration compilationUnitA,compilationUnitA ::= externalDeclaration compilationUnitA,compilationUnitA ::= externalDeclaration compilationUnitA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
externalDeclaration,,,,,,externalDeclaration ::= declarationSpecifiers Identifier declaratorPrime,externalDeclaration ::= declarationSpecifiers Identifier declaratorPrime,externalDeclaration ::= declarationSpecifiers Identifier declaratorPrime,externalDeclaration ::= declarationSpecifiers Identifier declaratorPrime,externalDeclaration ::= declarationSpecifiers Identifier declaratorPrime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
declaratorPrime,,,declaratorPrime ::= initDeclaratorListPrime initializer Semi,declaratorPrime ::= LeftParen functionDefinition,declaratorPrime ::= initDeclaratorListPrime initializer Semi,,,,,,declaratorPrime ::= initDeclaratorListPrime initializer Semi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
initDeclaratorListPrime,,,initDeclaratorListPrime ::= ε,,initDeclaratorListPrime ::= Comma Identifier initDeclaratorListPrime,,,,,,initDeclaratorListPrime ::= ε,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
